cid	glytoucan	siid
CID91851257	G27243WR	SID252283255
CID91851273	G89970IY	SID252283273
CID91851276	G18859UG	SID252283276
CID91851285	G85226CQ	SID252283285
CID91851287	G16404NW	SID252283287
CID91851290	G10417XF	SID252283290
CID91851301	G65890UA	SID252283301
CID91851302	G15144TI	SID252283303
CID91851314	G49800TU	SID252283316
CID91851319	G12061IK	SID252283321
CID91851331	G84964KJ	SID252283336
CID91851336	G03431NA	SID252283342
CID91851344	G19537TS	SID252283351
CID91851346	G05600OX	SID252283354
CID91851359	G18814OJ	SID252283368
CID91851366	G60234BX	SID252283378
CID91851370	G75384DE	SID252283382
CID91851371	G81982NW	SID252283385
CID91851380	G15648GT	SID252283395
CID91851399	G99309EE	SID252283419
CID91851401	G28550OD	SID252283422
CID91851404	G39062YR	SID252283425
CID91851405	G45048TZ	SID252283426
CID91851407	G58809AD	SID252283428
CID91851418	G81096RM	SID252283441
CID91851424	G05297EK	SID252283449
CID91851430	G94470QH	SID252283458
CID91851437	G25894QG	SID252283465
CID91851445	G58768FH	SID252283474
CID91851449	G12715RL	SID252283479
CID91851466	G80415EJ	SID252283497
CID91851479	G30529FG	SID252283513
CID91851488	G42227JK	SID252283524
CID91851503	G95151JF	SID252283541
CID91851517	G04448SF	SID252283559
CID91851529	G32305RZ	SID252283571
CID91851536	G83402YY	SID252283578
CID91851549	G85652RK	SID252283592
CID91851552	G80268ZC	SID252283596
CID91851566	G78915OI	SID252283610
CID91851592	G11010AN	SID252283642
CID91851598	G18707MU	SID252283650
CID91851602	G18643KO	SID252283654
CID91851606	G41331JX	SID252283660
CID91851610	G60814ZB	SID252283665
CID91851619	G70593HA	SID252283675
CID91851638	G04783EJ	SID252283699
CID91851666	G44688UB	SID252283733
CID91851680	G16546ZZ	SID252283749
CID91851688	G14138XB	SID252283758
CID91851690	G98795OG	SID252283760
CID91851697	G12352RJ	SID252283769
CID91851702	G08161JQ	SID252283775
CID91851704	G62446JD	SID252283777
CID91851736	G76956DJ	SID252283818
CID91851737	G49299WO	SID252283819
CID91851747	G29434RB	SID252283832
CID91851751	G02149VR	SID252283840
CID91851752	G08456TO	SID252283842
CID91851754	G05561HT	SID252283845
CID91851756	G84396LL	SID252283847
CID91851768	G36523TZ	SID252283861
CID91851770	G57130XG	SID252283863
CID91851771	G33192XL	SID252283864
CID91851791	G03818JD	SID252283888
CID91851793	G91875JA	SID252283891
CID91851795	G57835AK	SID252283893
CID91851797	G41063ME	SID252283895
CID91851800	G00112IO	SID252283898
CID91851804	G35749GB	SID252283904
CID91851807	G39523KI	SID252283908
CID91851809	G86002PC	SID252283913
CID91851810	G88703MC	SID252283914
CID91851814	G99389TD	SID252283920
CID91851816	G04048YA	SID252283923
CID91851833	G79691MO	SID252283941
CID91851840	G95847UR	SID252283948
CID91851841	G07147QM	SID252283949
CID91851846	G48053YN	SID252283954
CID91851854	G95963DM	SID252283964
CID91851859	G60615ZD	SID252283970
CID91851862	G43664YB	SID252283973
CID91851863	G50290UO	SID252283974
CID91851871	G03164NE	SID252283982
CID91851876	G49495US	SID252283987
CID91851881	G95619PX	SID252283992
CID91851884	G06171TU	SID252283996
CID91851889	G99595YZ	SID252284004
CID91851890	G41596PV	SID252284005
CID91851895	G72070EH	SID252284011
CID91851904	G39861AN	SID252284023
CID91851923	G82529OA	SID252284044
CID91851924	G02207TG	SID252284045
CID91851930	G52880ZN	SID252284052
CID91851937	G17964DY	SID252284062
CID91851943	G12848QL	SID252284071
CID91851961	G27170NH	SID252284092
CID91851964	G13151XE	SID252284096
CID91851971	G08364MT	SID252284103
CID91851983	G05384WR	SID252284118
CID91851985	G93758YP	SID252284120
CID91852006	G54073XZ	SID252284146
CID91852011	G67362UI	SID252284151
CID91852016	G95695ZV	SID252284156
CID91852017	G81114MS	SID252284157
CID91852020	G15006PM	SID252284161
CID91852023	G89941FZ	SID252284165
CID91852026	G53743TV	SID252284168
CID91852033	G15859AU	SID252284176
CID91852046	G45844BS	SID252284191
CID91852047	G48185FI	SID252284193
CID91852049	G45358WU	SID252284196
CID91852050	G54461SS	SID252284197
CID91852051	G07410AW	SID252284198
CID91852053	G89736UW	SID252284201
CID91852072	G42603RO	SID252284224
CID91852076	G11350UX	SID252284228
CID91852077	G61878VZ	SID252284229
CID91852080	G98512CR	SID252284232
CID91852081	G81575FZ	SID252284233
CID91852082	G34100DU	SID252284234
CID91852087	G68804CO	SID252284240
CID91852115	G52286UI	SID252284275
CID91852116	G98654DA	SID252284277
CID91852117	G90417DH	SID252284279
CID91852121	G69176ID	SID252284283
CID91852128	G61751GZ	SID252284290
CID91852135	G47975JA	SID252284297
CID91852136	G03230AX	SID252284298
CID91852137	G96919WB	SID252284299
CID91852142	G84163ZT	SID252284304
CID91852143	G87564QI	SID252284305
CID91852147	G03277UZ	SID252284311
CID91852161	G83662TS	SID252284330
CID91852163	G50911OK	SID252284333
CID91852165	G88127MB	SID252284335
CID91852179	G31037WG	SID252284355
CID91852181	G50375DL	SID252284358
CID91852182	G72406BE	SID252284359
CID91852183	G93470LV	SID252284360
CID91852184	G11276SJ	SID252284361
CID91852191	G34972BB	SID252284369
CID91852195	G17557TG	SID252284373
CID91852196	G42653GO	SID252284374
CID91852199	G52146XU	SID252284379
CID91852213	G72601EC	SID252284395
CID91852224	G72919IM	SID252284407
CID91852228	G63125IE	SID252284411
CID91852234	G22546XD	SID252284417
CID91852236	G15751RX	SID252284422
CID91852240	G34815RA	SID252284427
CID91852242	G52633YA	SID252284430
CID91852243	G55986UN	SID252284431
CID91852244	G56293JI	SID252284432
CID91852252	G91073KG	SID252284444
CID91852255	G11756ZM	SID252284447
CID91852256	G21293AK	SID252284448
CID91852258	G37830TX	SID252284450
CID91852260	G42147XQ	SID252284453
CID91852261	G44073EJ	SID252284454
CID91852265	G64968QT	SID252284459
CID91852275	G05840XL	SID252284474
CID91852280	G45826PJ	SID252284479
CID91852281	G49168NM	SID252284480
CID91852288	G68845SP	SID252284487
CID91852290	G95109CV	SID252284490
CID91852297	G41859KE	SID252284501
CID91852299	G40194MN	SID252284504
CID91852308	G94773HW	SID252284516
CID91852329	G43558RC	SID252284540
CID91852335	G48154LM	SID252284546
CID91852336	G74369SL	SID252284547
CID91852337	G03764XL	SID252284548
CID91852358	G40096SL	SID252284574
CID91852360	G50499BR	SID252284576
CID91852362	G25890BU	SID252284578
CID91852364	G45603BW	SID252284580
CID91852365	G68415EV	SID252284582
CID91852370	G46991EQ	SID252284588
CID91852389	G48585WR	SID252284609
CID91852394	G74859XI	SID252284614
CID91852398	G42240DE	SID252284619
CID91852401	G07328EF	SID252284623
CID91852404	G47554EG	SID252284626
CID91852410	G57937LQ	SID252284632
CID91852412	G61222QQ	SID252284634
CID91852419	G28298VW	SID252284645
CID91852423	G57184TT	SID252284649
CID91852442	G48178AY	SID252284670
CID91852450	G63474NY	SID252284681
CID91852459	G41656NL	SID252284691
CID91852462	G42471QL	SID252284694
CID91852469	G00482HJ	SID252284702
CID91852471	G63838JW	SID252284705
CID91852476	G66111ZR	SID252284711
CID91852486	G50091EW	SID252284725
CID91852492	G09552LA	SID252284731
CID91852496	G65087VI	SID252284738
CID91852520	G74121RX	SID252284765
CID91852522	G26326KX	SID252284767
CID91852525	G63919RG	SID252284772
CID91852538	G79996DQ	SID252284788
CID91852557	G68321OY	SID252284811
CID91852558	G61457CY	SID252284812
CID91852571	G07376BS	SID252284828
CID91852573	G73111YU	SID252284831
CID91852586	G69107KE	SID252284846
CID91852604	G29803MG	SID252284865
CID91852617	G75824WJ	SID252284881
CID91852627	G63238VS	SID252284895
CID91852638	G37476QB	SID252284908
CID91852640	G54706BB	SID252284910
CID91852642	G97895RK	SID252284912
CID91852645	G71506JZ	SID252284915
CID91852665	G27775IZ	SID252284941
CID91852677	G92327HS	SID252284956
CID91852679	G04216GB	SID252284959
CID91852690	G02786XX	SID252284972
CID91852692	G52956BX	SID252284974
CID91852696	G16063EF	SID252284978
CID91852697	G20140JS	SID252284979
CID91852698	G21251LN	SID252284980
CID91852699	G26939ZY	SID252284981
CID91852703	G85843WY	SID252284988
CID91852705	G96570OI	SID252284990
CID91852713	G27995KI	SID252284999
CID91852716	G37274WB	SID252285002
CID91852721	G59741XZ	SID252285007
CID91852725	G89008DB	SID252285011
CID91852728	G95336MK	SID252285014
CID91852731	G58667NI	SID252285019
CID91852754	G47206MY	SID252285047
CID91852755	G91312MX	SID252285048
CID91852756	G41473YC	SID252285049
CID91852763	G77147RP	SID252285059
CID91852770	G59946TO	SID252285067
CID91852778	G36581PT	SID252285076
CID91852792	G13602QE	SID252285091
CID91852793	G06036CF	SID252285092
CID91852798	G60415BS	SID252285098
CID91852802	G84914ZF	SID252285104
CID91852805	G17540HT	SID252285107
CID91852808	G45811PK	SID252285110
CID91852839	G62217NB	SID252285144
CID91852846	G06404ZJ	SID252285151
CID91852848	G77481LZ	SID252285153
CID91852867	G03168RN	SID252285174
CID91852870	G63427CD	SID252285178
CID91852877	G22237ZE	SID252285187
CID91852881	G70945OS	SID252285192
CID91852897	G86495BQ	SID252285214
CID91852899	G10540LB	SID252285216
CID91852900	G50517DR	SID252285217
CID91852913	G42667BL	SID252285231
CID91852915	G56045WU	SID252285233
CID91852917	G34838RM	SID252285236
CID91852919	G14645TH	SID252285240
CID91852934	G17473NR	SID252285258
CID91852935	G64389UN	SID252285260
CID91852945	G84783YG	SID252285270
CID91852955	G11929SN	SID252285282
CID91852956	G69030AU	SID252285283
CID91852966	G29461HI	SID252285294
CID91852997	G25392ZR	SID252285334
CID91852999	G77687SU	SID252285336
CID91853011	G06804FL	SID252285350
CID91853026	G28218GE	SID252285366
CID91853037	G73517CY	SID252285377
CID91853038	G55259BS	SID252285379
CID91853046	G97765TT	SID252285389
CID91853059	G21672MV	SID252285402
CID91853065	G83895FM	SID252285409
CID91853067	G99729IU	SID252285411
CID91853068	G61072JZ	SID252285412
CID91853076	G08046LM	SID252285422
CID91853083	G65982DP	SID252285431
CID91853092	G80583XN	SID252285440
CID91853098	G49332RT	SID252285447
CID91853110	G96674LJ	SID252285458
CID91853114	G29377XJ	SID252285462
CID91853118	G21647CX	SID252285467
CID91853125	G87514QJ	SID252285474
CID91853129	G12340JM	SID252285478
CID91853139	G92311HB	SID252285492
CID91853141	G86005HP	SID252285494
CID91853148	G34499SX	SID252285501
CID91853150	G84501YL	SID252285505
CID91853151	G88421PE	SID252285506
CID91853155	G06721LM	SID252285511
CID91853163	G38966ID	SID252285522
CID91853165	G53168IY	SID252285525
CID91853168	G61849OD	SID252285528
CID91853171	G70590VH	SID252285531
CID91853178	G91845HM	SID252285541
CID91853187	G46387UV	SID252285552
CID91853188	G52663AD	SID252285553
CID91853197	G91684MM	SID252285566
CID91853201	G98066UT	SID252285570
CID91853206	G56512IR	SID252285576
CID91853217	G61575RT	SID252285589
CID91853228	G80829RZ	SID252285601
CID91853235	G94278FQ	SID252285612
CID91853242	G46542RN	SID252285621
CID91853244	G23778GQ	SID252285623
CID91853249	G13210XL	SID252285629
CID91853259	G39807DF	SID252285640
CID91853261	G31991IV	SID252285642
CID91853267	G42192BR	SID252285648
CID91853268	G09724ZC	SID252285649
CID91853272	G78475DU	SID252285653
CID91853282	G97908CK	SID252285665
CID91853298	G53485VW	SID252285682
CID91853306	G43694RQ	SID252285694
CID91853307	G99074EO	SID252285695
CID91853318	G26730QM	SID252285711
CID91853321	G35139NO	SID252285716
CID91853334	G79776GW	SID252285732
CID91853339	G32484KU	SID252285742
CID91853345	G12020PN	SID252285750
CID91853362	G53752TA	SID252285767
CID91853380	G65135MY	SID252285790
CID91853381	G26018HD	SID252285791
CID91853385	G63473GZ	SID252285796
CID91853386	G10770RR	SID252285797
CID91853389	G84448IT	SID252285800
CID91853390	G18219CJ	SID252285801
CID91853391	G47456CG	SID252285802
CID91853398	G65508FE	SID252285808
CID91853403	G71957GO	SID252285816
CID91853411	G00063MO	SID252285826
CID91853431	G57598XN	SID252285852
CID91853437	G85735KR	SID252285860
CID91853440	G73381RY	SID252285865
CID91853450	G47920WV	SID252285875
CID91853451	G86118KP	SID252285876
CID91853465	G00039MO	SID252285892
CID91853468	G53272SL	SID252285895
CID91853471	G77674IK	SID252285900
CID91853472	G91731RP	SID252285901
CID91853483	G91731DX	SID252285913
CID91853484	G80085KS	SID252285914
CID91853498	G79556AB	SID252285928
CID91853505	G66674JW	SID252285935
CID91853512	G71704AG	SID252285943
CID91853518	G65117HG	SID252285949
CID91853523	G60365DR	SID252285957
CID91853540	G81933FO	SID252285976
CID91853547	G33802UM	SID252285984
CID91853548	G09349XQ	SID252285987
CID91853550	G89345GA	SID252285989
CID91853552	G25097RR	SID252285991
CID91853560	G03385XG	SID252286000
CID91853563	G06400QJ	SID252286004
CID91853566	G25731WL	SID252286007
CID91853577	G48018RF	SID252286019
CID91853579	G51343UJ	SID252286021
CID91853580	G57592QM	SID252286022
CID91853582	G60370CP	SID252286025
CID91853587	G79044TC	SID252286030
CID91853589	G91474EO	SID252286032
CID91853591	G95901MC	SID252286034
CID91853594	G13294EW	SID252286037
CID91853595	G18653BM	SID252286039
CID91853609	G92429IK	SID252286053
CID91853610	G97353GO	SID252286054
CID91853612	G25178FO	SID252286056
CID91853618	G42712XS	SID252286063
CID91853639	G56529CD	SID252286084
CID91853663	G01789AQ	SID252286110
CID91853687	G33620BP	SID252286140
CID91853689	G29326OK	SID252286143
CID91853695	G07014AW	SID252286152
CID91853712	G14629VW	SID252286171
CID91853713	G81315DD	SID252286172
CID91853716	G77577HJ	SID252286178
CID91853731	G92241FG	SID252286197
CID91853740	G94946LG	SID252286210
CID91853750	G14393TF	SID252286221
CID91853753	G58759ZL	SID252286224
CID91853754	G04744XB	SID252286225
CID91853755	G08577ZR	SID252286226
CID91853766	G55302WQ	SID252286240
CID91853767	G55459MJ	SID252286241
CID91853769	G22188XM	SID252286243
CID91853789	G05184IQ	SID252286265
CID91853791	G54733XO	SID252286267
CID91853800	G09576QH	SID252286278
CID91853801	G52013SF	SID252286279
CID91853810	G74574VX	SID252286289
CID91853816	G07262RR	SID252286296
CID91853818	G77207RR	SID252286299
CID91853826	G32065BG	SID252286308
CID91853832	G08340FW	SID252286316
CID91853833	G10425SO	SID252286317
CID91853842	G42176GK	SID252286326
CID91853844	G34754UR	SID252286329
CID91853849	G29905OR	SID252286335
CID91853855	G82320NZ	SID252286342
CID91853858	G90348RI	SID252286345
CID91853871	G71679MX	SID252286360
CID91853895	G53098FA	SID252286391
CID91853901	G95298UR	SID252286399
CID91853918	G23667XV	SID252286421
CID91853922	G27431EQ	SID252286425
CID91853926	G39794DN	SID252286429
CID91853936	G37562WX	SID252286440
CID91853938	G46394FV	SID252286442
CID91853954	G32152BH	SID252286464
CID91853959	G69985ZX	SID252286471
CID91853963	G68893BQ	SID252286475
CID91853965	G20877ZV	SID252286477
CID91853967	G14520ZO	SID252286479
CID91853995	G45776ET	SID252286516
CID91853999	G98790NR	SID252286520
CID91854003	G21507RO	SID252286524
CID91854011	G88227HW	SID252286533
CID91854016	G23935WM	SID252286538
CID91854024	G61420QM	SID252286550
CID91854029	G74154RA	SID252286555
CID91854045	G11460AB	SID252286572
CID91854048	G22689CV	SID252286576
CID91854055	G47457DK	SID252286583
CID91854064	G72748AQ	SID252286593
CID91854065	G74782FR	SID252286594
CID91854069	G93160RG	SID252286602
CID91854073	G00504PZ	SID252286606
CID91854080	G33244HE	SID252286614
CID91854082	G42672MA	SID252286616
CID91854086	G60875XB	SID252286620
CID91854090	G88461FF	SID252286625
CID91854101	G18950NM	SID252286637
CID91854103	G24987DS	SID252286639
CID91854138	G93400AK	SID252286684
CID91854153	G96445EY	SID252286701
CID91854154	G94547KR	SID252286702
CID91854160	G75671DO	SID252286708
CID91854163	G11278YL	SID252286711
CID91854170	G28327SH	SID252286719
CID91854172	G24875YE	SID252286721
CID91854173	G93816OI	SID252286722
CID91854174	G88948CY	SID252286723
CID91854175	G14127XU	SID252286724
CID91854179	G22754FQ	SID252286729
CID91854208	G55867TY	SID252286766
CID91854210	G15571KX	SID252286768
CID91854220	G43040IL	SID252286780
CID91854222	G23295TF	SID252286782
CID91854232	G81356NS	SID252286794
CID91854233	G31716EV	SID252286795
CID91854236	G84778XH	SID252286798
CID91854253	G34465ZP	SID252286821
CID91854254	G25457IZ	SID252286822
CID91854270	G20953SW	SID252286841
CID91854273	G40707SF	SID252286846
CID91854279	G41937ED	SID252286853
CID91854281	G92786VA	SID252286855
CID91854283	G66964CR	SID252286857
CID91854288	G15948XY	SID252286863
CID91854293	G30590EC	SID252286869
CID91854295	G29729DB	SID252286875
CID91854302	G20170YB	SID252286885
CID91854303	G28868PL	SID252286886
CID91854312	G33909XJ	SID252286897
CID91854326	G75185NU	SID252286915
CID91854330	G17228YV	SID252286919
CID91854333	G39203UC	SID252286924
CID91854340	G23598DU	SID252286935
CID91854347	G21311YA	SID252286944
CID91854365	G31692TJ	SID252286967
CID91854369	G88537BJ	SID252286972
CID91854370	G81912AC	SID252286973
CID91854373	G86851RC	SID252286978
CID91854376	G24413UY	SID252286982
CID91854395	G90509QW	SID252287002
CID91854397	G06191GU	SID252287004
CID91854402	G84874EV	SID252287009
CID91854407	G45129XM	SID252287014
CID91854410	G36157OV	SID252287017
CID91854413	G61411XJ	SID252287020
CID91854415	G12111NA	SID252287023
CID91854417	G10189EJ	SID252287025
CID91854422	G10831FE	SID252287032
CID91854443	G94047VH	SID252287057
CID91854444	G72729HN	SID252287058
CID91854445	G51896IF	SID252287059
CID91854452	G48277OH	SID252287069
CID91854457	G56961QY	SID252287076
CID91854476	G19889ZI	SID252287100
CID91854481	G35827XH	SID252287105
CID91854483	G54394ER	SID252287108
CID91854494	G30109UP	SID252287119
CID91854501	G26653MA	SID252287127
CID91854512	G25132GJ	SID252287141
CID91854523	G13585JF	SID252287154
CID91854528	G18731YM	SID252287159
CID91854530	G09362PR	SID252287161
CID91854536	G22098NU	SID252287169
CID91854546	G86681UT	SID252287179
CID91854549	G14974EY	SID252287183
CID91854565	G41087ZA	SID252287207
CID91854567	G50321QR	SID252287209
CID91854572	G88334IC	SID252287214
CID91854587	G86357DX	SID252287231
CID91854594	G47782UT	SID252287239
CID91854597	G40906DZ	SID252287243
CID91854600	G97553BW	SID252287247
CID91854603	G96503EZ	SID252287250
CID91854611	G51119RL	SID252287260
CID91854614	G10691MJ	SID252287263
CID91854621	G39408YK	SID252287271
CID91854622	G53288JQ	SID252287272
CID91854639	G97212ZE	SID252287293
CID91854642	G59967VI	SID252287296
CID91854647	G10258MC	SID252287301
CID91854648	G06460LD	SID252287302
CID91854651	G41824PC	SID252287305
CID91854655	G96439CH	SID252287309
CID91854659	G45264AM	SID252287315
CID91854686	G91649BT	SID252287345
CID91854690	G66021ZE	SID252287350
CID91854694	G35362TE	SID252287354
CID91854696	G97453GF	SID252287356
CID91854697	G29519AS	SID252287358
CID91854700	G63813EJ	SID252287366
CID91854702	G44479SH	SID252287368
CID91854704	G38291RB	SID252287372
CID91854711	G09670SR	SID252287381
CID91854717	G65790DQ	SID252287389
CID91854721	G39422JF	SID252287394
CID91854726	G56372FJ	SID252287400
CID91854729	G50531NJ	SID252287403
CID91854745	G24812WY	SID252287421
CID91854754	G60439QY	SID252287433
CID91854755	G04163JP	SID252287434
CID91854761	G45215IJ	SID252287440
CID91854765	G36223VW	SID252287446
CID91854776	G46945LQ	SID252287461
CID91854781	G65009JH	SID252287467
CID91854804	G62196IB	SID252287494
CID91854808	G73418FX	SID252287498
CID91854827	G67920QO	SID252287518
CID91854840	G88303DD	SID252287537
CID91854841	G32201IL	SID252287539
CID91854847	G67505LV	SID252287546
CID91854852	G22079SE	SID252287551
CID91854860	G63585HN	SID252287560
CID91854861	G59594CP	SID252287561
CID91854864	G10845BX	SID252287567
CID91854867	G64693IG	SID252287572
CID91854884	G75734VP	SID252287596
CID91854885	G29445ZK	SID252287597
CID91854890	G96401FK	SID252287603
CID91854892	G55184IL	SID252287605
CID91854899	G05552HC	SID252287615
CID91854901	G15577KP	SID252287617
CID91854903	G17331IX	SID252287619
CID91854905	G22665UT	SID252287621
CID91854917	G67715OS	SID252287633
CID91854929	G00883DO	SID252287646
CID91854930	G00986YT	SID252287647
CID91854932	G35442CG	SID252287652
CID91854933	G35769UV	SID252287654
CID91854940	G72046TZ	SID252287662
CID91854943	G90223GH	SID252287666
CID91854946	G95984JN	SID252287669
CID91854948	G07075ZE	SID252287671
CID91854949	G13592VY	SID252287672
CID91854953	G26985TZ	SID252287677
CID91854958	G50775RM	SID252287682
CID91854959	G52045RC	SID252287683
CID91854962	G57705QQ	SID252287686
CID91854964	G63622FJ	SID252287688
CID91854966	G64566OC	SID252287690
CID91854971	G77426UJ	SID252287696
CID91854972	G81980VO	SID252287697
CID91854977	G96235XM	SID252287703
CID91854990	G92219PK	SID252287719
CID91854992	G79958YT	SID252287722
CID91854999	G94610SC	SID252287730
CID91855008	G73161ZQ	SID252287740
CID91855009	G74438AB	SID252287741
CID91855010	G36268TW	SID252287742
CID91855027	G38085YD	SID252287765
CID91855028	G41817BL	SID252287767
CID91855029	G13947MP	SID252287768
CID91855033	G75902JL	SID252287772
CID91855036	G33970VN	SID252287779
CID91855037	G64481DJ	SID252287780
CID91855038	G03247RO	SID252287781
CID91855044	G75049FP	SID252287788
CID91855046	G21246OH	SID252287790
CID91855049	G37641EM	SID252287793
CID91855062	G59910CM	SID252287808
CID91855064	G58824SI	SID252287810
CID91855078	G91081MA	SID252287825
CID91855101	G14311HQ	SID252287853
CID91855102	G62639CP	SID252287854
CID91855111	G11450BY	SID252287863
CID91855132	G06022SA	SID252287890
CID91855138	G09909FT	SID252287897
CID91855146	G92616PG	SID252287905
CID91855147	G86730KO	SID252287906
CID91855153	G32237WQ	SID252287912
CID91855156	G69533GA	SID252287916
CID91855164	G06820QR	SID252287925
CID91855179	G30302VM	SID252287942
CID91855183	G16600BL	SID252287946
CID91855195	G42956UG	SID252287962
CID91855196	G18011IN	SID252287963
CID91855209	G94106MV	SID252287979
CID91855238	G81471KU	SID252288013
CID91855246	G76584SS	SID252288023
CID91855255	G43761IQ	SID252288033
CID91855262	G30651IU	SID252288043
CID91855270	G35798GO	SID252288052
CID91855271	G90771OP	SID252288055
CID91855278	G04423CA	SID252288062
CID91855282	G32586BA	SID252288068
CID91855283	G06624ZC	SID252288069
CID91855290	G59508TM	SID252288077
CID91855291	G34626UE	SID252288078
CID91855301	G89584RR	SID252288090
CID91855302	G10712FZ	SID252288091
CID91855303	G24436CD	SID252288092
CID91855306	G50829CY	SID252288095
CID91855307	G76882CO	SID252288096
CID91855308	G01310VF	SID252288097
CID91855309	G80537QW	SID252288100
CID91855314	G16873YG	SID252288106
CID91855320	G16984QJ	SID252288113
CID91855322	G07817HH	SID252288115
CID91855328	G63150NE	SID252288123
CID91855331	G42797SX	SID252288126
CID91855334	G01354KL	SID252288130
CID91855342	G45187EI	SID252288139
CID91855344	G98308VA	SID252288141
CID91855346	G06597DS	SID252288143
CID91855347	G08244KE	SID252288144
CID91855349	G19943KG	SID252288147
CID91855357	G69762TP	SID252288157
CID91855360	G75547TX	SID252288161
CID91855368	G26203DP	SID252288169
CID91855383	G58969RU	SID252288187
CID91855385	G82680EC	SID252288189
CID91855398	G35096EN	SID252288204
CID91855406	G91089ZR	SID252288212
CID91855409	G32659RY	SID252288217
CID91855410	G70494TJ	SID252288219
CID91855416	G57084IU	SID252288226
CID91855435	G41384PQ	SID252288249
CID91855457	G26121MN	SID252288277
CID91855459	G25328BM	SID252288280
CID91855472	G37166HP	SID252288294
CID91855473	G18140CR	SID252288295
CID91855484	G72103RY	SID252288307
CID91855496	G14371GV	SID252288322
CID91855497	G36521AS	SID252288323
CID91855500	G81738MQ	SID252288326
CID91855508	G40579SX	SID252288340
CID91855509	G68461PT	SID252288341
CID91855524	G23232XI	SID252288359
CID91855525	G57020ER	SID252288360
CID91855526	G76370WH	SID252288362
CID91855529	G02020YO	SID252288368
CID91855534	G14027YB	SID252288375
CID91855536	G72905QH	SID252288378
CID91855539	G59454IE	SID252288382
CID91855544	G11655BA	SID252288387
CID91855551	G99507PM	SID252288394
CID91855558	G79351ZW	SID252288402
CID91855559	G42239FO	SID252288403
CID91855569	G88380UG	SID252288416
CID91855573	G43767FS	SID252288421
CID91855574	G05102JZ	SID252288422
CID91855583	G71857KQ	SID252288434
CID91855604	G23817OE	SID252288458
CID91855627	G50078RT	SID252288485
CID91855651	G28459KM	SID252288511
CID91855656	G70507DZ	SID252288517
CID91855660	G91583AW	SID252288522
CID91855661	G83926PC	SID252288523
CID91855662	G31679YU	SID252288524
CID91855681	G78126EU	SID252288549
CID91855682	G16290UY	SID252288550
CID91855686	G28707FT	SID252288556
CID91855688	G77812KJ	SID252288558
CID91855690	G08242BT	SID252288562
CID91855691	G42830YF	SID252288563
CID91855700	G59029DL	SID252288573
CID91855737	G72272ID	SID252288614
CID91855745	G46491JP	SID252288622
CID91855748	G93638TT	SID252288626
CID91855756	G57930PW	SID252288634
CID91855757	G65760UO	SID252288635
CID91855759	G89143RS	SID252288638
CID91855767	G98809PE	SID252288650
CID91855769	G33150PJ	SID252288652
CID91855773	G85041WE	SID252288658
CID91855776	G37276TY	SID252288662
CID91855781	G25129BT	SID252288668
CID91855782	G57970NA	SID252288670
CID91855783	G42466VF	SID252288672
CID91855788	G17251XF	SID252288678
CID91855795	G08348BC	SID252288686
CID91855796	G09452ED	SID252288687
CID91855802	G26527XD	SID252288694
CID91855806	G46836GH	SID252288698
CID91855808	G47163SC	SID252288700
CID91855810	G61283FH	SID252288702
CID91855812	G69360KJ	SID252288704
CID91855813	G74459BD	SID252288706
CID91855815	G76439VL	SID252288708
CID91855819	G86459PH	SID252288713
CID91855822	G99603GB	SID252288718
CID91855828	G52080WL	SID252288726
CID91855829	G57580SM	SID252288727
CID91855835	G06209KS	SID252288736
CID91855841	G49232RW	SID252288743
CID91855847	G57262WV	SID252288749
CID91855855	G84887KU	SID252288758
CID91855862	G38022PE	SID252288765
CID91855865	G02353KU	SID252288768
CID91855869	G74396CO	SID252288774
CID91855871	G52719CT	SID252288776
CID91855873	G75339KH	SID252288780
CID91855880	G09666WO	SID252288787
CID91855887	G01342FO	SID252288795
CID91855892	G84153KU	SID252288800
CID91855894	G32592IB	SID252288802
CID91855899	G47279LF	SID252288807
CID91855904	G02379AH	SID252288812
CID91855911	G53812EH	SID252288821
CID91855915	G08005PG	SID252288826
CID91855924	G84390MS	SID252288836
CID91855936	G57710SU	SID252288849
CID91855942	G08140FC	SID252288856
CID91855949	G61086WG	SID252288863
CID91855950	G02582JY	SID252288864
CID91855952	G95333ZG	SID252288867
CID91855967	G47414TF	SID252288886
CID91855985	G60138JZ	SID252288907
CID91856016	G87073UP	SID252288942
CID91856017	G48809ZO	SID252288944
CID91856018	G54409JS	SID252288945
CID91856019	G83878UZ	SID252288946
CID91856021	G58239DH	SID252288948
CID91856022	G23681NU	SID252288950
CID91856026	G28326EU	SID252288957
CID91856032	G12699VT	SID252288963
CID91856034	G41953RN	SID252288965
CID91856041	G60274JN	SID252288974
CID91856073	G87867IZ	SID252289012
CID91856093	G42303MJ	SID252289038
CID91856128	G19083SI	SID252289080
CID91856133	G07695ZT	SID252289086
CID91856150	G28948UC	SID252289103
CID91856154	G48616UI	SID252289107
CID91856155	G13636IT	SID252289108
CID91856169	G10573FI	SID252289128
CID91856187	G80298HR	SID252289155
CID91856201	G29130SY	SID252289170
CID91856208	G40909AN	SID252289180
CID91856210	G19906BM	SID252289182
CID91856211	G99533GU	SID252289184
CID91856218	G51945PF	SID252289193
CID91856223	G49832FF	SID252289198
CID91856228	G13168IS	SID252289204
CID91856233	G05212BT	SID252289209
CID91856236	G36701GV	SID252289213
