KEGGID	HMDBID
cpd:C00409	hmdb:HMDB03227
cpd:C00410	hmdb:HMDB01830
cpd:C00412	hmdb:HMDB01114
cpd:C00413	hmdb:HMDB15214
cpd:C00414	hmdb:HMDB03315
cpd:C00415	hmdb:HMDB01056
cpd:C00417	hmdb:HMDB00072
cpd:C00418	hmdb:HMDB00227
cpd:C00418	hmdb:HMDB59629
cpd:C00423	hmdb:HMDB00930
cpd:C00424	hmdb:HMDB03052
cpd:C00426	hmdb:HMDB00632
cpd:C00427	hmdb:HMDB01381
cpd:C00429	hmdb:HMDB00076
cpd:C00430	hmdb:HMDB01149
cpd:C00431	hmdb:HMDB03355
cpd:C00436	hmdb:HMDB33458
cpd:C00437	hmdb:HMDB03357
cpd:C00438	hmdb:HMDB00828
cpd:C00439	hmdb:HMDB00854
cpd:C00440	hmdb:HMDB01396
cpd:C00441	hmdb:HMDB12249
cpd:C00445	hmdb:HMDB01354
cpd:C00446	hmdb:HMDB00645
cpd:C00447	hmdb:HMDB60274
cpd:C00448	hmdb:HMDB00961
cpd:C00449	hmdb:HMDB00279
cpd:C00450	hmdb:HMDB12130
cpd:C00450	hmdb:HMDB59657
cpd:C00451	hmdb:HMDB01874
cpd:C00455	hmdb:HMDB00229
cpd:C00455	hmdb:HMDB59645
cpd:C00458	hmdb:HMDB00998
cpd:C00459	hmdb:HMDB01342
cpd:C00460	hmdb:HMDB01191
cpd:C00461	hmdb:HMDB03362
cpd:C00463	hmdb:HMDB00738
cpd:C00464	hmdb:HMDB29931
cpd:C00466	hmdb:HMDB03243
cpd:C00468	hmdb:HMDB00145
cpd:C00469	hmdb:HMDB00108
cpd:C00470	hmdb:HMDB03363
cpd:C00472	hmdb:HMDB03364
cpd:C00473	hmdb:HMDB00305
cpd:C00474	hmdb:HMDB00508
cpd:C00475	hmdb:HMDB00089
cpd:C00479	hmdb:HMDB03366
cpd:C00482	hmdb:HMDB32616
cpd:C00483	hmdb:HMDB00306
cpd:C00486	hmdb:HMDB00054
cpd:C00488	hmdb:HMDB01536
cpd:C00489	hmdb:HMDB00661
cpd:C00490	hmdb:HMDB02092
cpd:C00491	hmdb:HMDB00192
cpd:C00492	hmdb:HMDB03213
cpd:C00493	hmdb:HMDB03070
cpd:C00497	hmdb:HMDB31518
cpd:C00498	hmdb:HMDB06557
cpd:C00499	hmdb:HMDB01209
cpd:C00500	hmdb:HMDB01008
cpd:C00501	hmdb:HMDB03369
cpd:C00503	hmdb:HMDB02994
cpd:C00504	hmdb:HMDB00121
cpd:C00505	hmdb:HMDB14936
cpd:C00506	hmdb:HMDB02757
cpd:C00507	hmdb:HMDB00849
cpd:C00509	hmdb:HMDB02670
cpd:C00510	hmdb:HMDB01322
cpd:C00511	hmdb:HMDB31647
cpd:C00512	hmdb:HMDB02252
cpd:C00513	hmdb:HMDB59599
cpd:C00515	hmdb:HMDB03374
cpd:C00517	hmdb:HMDB01551
cpd:C00518	hmdb:HMDB02061
cpd:C00519	hmdb:HMDB00965
cpd:C00521	hmdb:HMDB03375
cpd:C00523	hmdb:HMDB00031
cpd:C00525	hmdb:HMDB13609
cpd:C00526	hmdb:HMDB00012
cpd:C00527	hmdb:HMDB01339
cpd:C00530	hmdb:HMDB02434
cpd:C00531	hmdb:HMDB03377
cpd:C00532	hmdb:HMDB01851
cpd:C00533	hmdb:HMDB03378
cpd:C00534	hmdb:HMDB01431
cpd:C00535	hmdb:HMDB00234
cpd:C00536	hmdb:HMDB03379
cpd:C00536	hmdb:HMDB12282
cpd:C00541	hmdb:HMDB06316
cpd:C00542	hmdb:HMDB00455
cpd:C00543	hmdb:HMDB00087
cpd:C00544	hmdb:HMDB00130
cpd:C00546	hmdb:HMDB01167
cpd:C00547	hmdb:HMDB00216
cpd:C00548	hmdb:HMDB40733
cpd:C00553	hmdb:HMDB35763
cpd:C00555	hmdb:HMDB01080
cpd:C00556	hmdb:HMDB03119
cpd:C00557	hmdb:HMDB31407
cpd:C00559	hmdb:HMDB00101
cpd:C00561	hmdb:HMDB60486
cpd:C00565	hmdb:HMDB00906
cpd:C00568	hmdb:HMDB01392
cpd:C00570	hmdb:HMDB01564
cpd:C00571	hmdb:HMDB31404
cpd:C00573	hmdb:HMDB01165
cpd:C00575	hmdb:HMDB00058
cpd:C00576	hmdb:HMDB01252
cpd:C00579	hmdb:HMDB00985
cpd:C00580	hmdb:HMDB02303
cpd:C00581	hmdb:HMDB00128
cpd:C00582	hmdb:HMDB06503
cpd:C00583	hmdb:HMDB01881
cpd:C00584	hmdb:HMDB01220
cpd:C00587	hmdb:HMDB02466
cpd:C00588	hmdb:HMDB01565
cpd:C00590	hmdb:HMDB12915
cpd:C00597	hmdb:HMDB00807
cpd:C00599	hmdb:HMDB00921
cpd:C00601	hmdb:HMDB06236
cpd:C00603	hmdb:HMDB01005
cpd:C00606	hmdb:HMDB00996
cpd:C00606	hmdb:HMDB60179
cpd:C00607	hmdb:HMDB00580
cpd:C00611	hmdb:HMDB01542
cpd:C00612	hmdb:HMDB01276
cpd:C00617	hmdb:HMDB12302
cpd:C00618	hmdb:HMDB06334
cpd:C00620	hmdb:HMDB01489
cpd:C00621	hmdb:HMDB01513
cpd:C00624	hmdb:HMDB01138
cpd:C00627	hmdb:HMDB01319
cpd:C00628	hmdb:HMDB00152
cpd:C00630	hmdb:HMDB01243
cpd:C00631	hmdb:HMDB03391
cpd:C00632	hmdb:HMDB01476
cpd:C00633	hmdb:HMDB11718
cpd:C00634	hmdb:HMDB00652
cpd:C00636	hmdb:HMDB06330
cpd:C00637	hmdb:HMDB01190
cpd:C00639	hmdb:HMDB01139
cpd:C00642	hmdb:HMDB00020
cpd:C00643	hmdb:HMDB00472
cpd:C00643	hmdb:HMDB15571
cpd:C00644	hmdb:HMDB01530
cpd:C00644	hmdb:HMDB05831
cpd:C00645	hmdb:HMDB01129
cpd:C00647	hmdb:HMDB01555
cpd:C00651	hmdb:HMDB29433
cpd:C00655	hmdb:HMDB01554
cpd:C00661	hmdb:HMDB01112
cpd:C00664	hmdb:HMDB01534
cpd:C00665	hmdb:HMDB01047
cpd:C00666	hmdb:HMDB01370
cpd:C00669	hmdb:HMDB01049
cpd:C00670	hmdb:HMDB00086
cpd:C00672	hmdb:HMDB01351
cpd:C00673	hmdb:HMDB01031
cpd:C00673	hmdb:HMDB59654
cpd:C00674	hmdb:HMDB00899
cpd:C00683	hmdb:HMDB01269
cpd:C00683	hmdb:HMDB02310
cpd:C00689	hmdb:HMDB01124
cpd:C00695	hmdb:HMDB00619
cpd:C00696	hmdb:HMDB01403
cpd:C00697	hmdb:HMDB01371
cpd:C00698	hmdb:HMDB00492
cpd:C00700	hmdb:HMDB00293
cpd:C00703	hmdb:HMDB03625
cpd:C00704	hmdb:HMDB02168
cpd:C00705	hmdb:HMDB01245
cpd:C00708	hmdb:HMDB12238
cpd:C00711	hmdb:HMDB00744
cpd:C00712	hmdb:HMDB00207
cpd:C00713	hmdb:HMDB29937
cpd:C00715	hmdb:HMDB00802
cpd:C00718	hmdb:HMDB03403
cpd:C00719	hmdb:HMDB00043
cpd:C00719	hmdb:HMDB59606
cpd:C00721	hmdb:HMDB06857
cpd:C00725	hmdb:HMDB01451
cpd:C00734	hmdb:HMDB03404
cpd:C00735	hmdb:HMDB00063
cpd:C00735	hmdb:HMDB14879
cpd:C00739	hmdb:HMDB03405
cpd:C00740	hmdb:HMDB03406
cpd:C00741	hmdb:HMDB03407
cpd:C00742	hmdb:HMDB00662
cpd:C00745	hmdb:HMDB01934
cpd:C00746	hmdb:HMDB02865
cpd:C00747	hmdb:HMDB00926
cpd:C00750	hmdb:HMDB01256
cpd:C00751	hmdb:HMDB00256
cpd:C00753	hmdb:HMDB01989
cpd:C00755	hmdb:HMDB12308
cpd:C00756	hmdb:HMDB01183
cpd:C00757	hmdb:HMDB03409
cpd:C00758	hmdb:HMDB13679
cpd:C00760	hmdb:HMDB06944
cpd:C00761	hmdb:HMDB13682
cpd:C00762	hmdb:HMDB02802
cpd:C00763	hmdb:HMDB03411
cpd:C00774	hmdb:HMDB03306
cpd:C00777	hmdb:HMDB01852
cpd:C00780	hmdb:HMDB00259
cpd:C00785	hmdb:HMDB00301
cpd:C00788	hmdb:HMDB00068
cpd:C00791	hmdb:HMDB00562
cpd:C00792	hmdb:HMDB03416
cpd:C00793	hmdb:HMDB03417
cpd:C00794	hmdb:HMDB00247
cpd:C00795	hmdb:HMDB03418
