CHEBIID	KEGGID
chebi:32382	cpd:C01983
chebi:17756	cpd:C01984
chebi:27622	cpd:C05584
chebi:27996	cpd:C05343
chebi:17210	cpd:C03198
chebi:29805	cpd:C00160
chebi:16944	cpd:C03508
chebi:17982	cpd:C03682
chebi:33190	cpd:C00222
chebi:49256	cpd:C06006
chebi:13705	cpd:C00164
chebi:29743	cpd:C02367
chebi:27467	cpd:C05572
chebi:15777	cpd:C03767
chebi:16120	cpd:C03273
chebi:18322	cpd:C06102
chebi:29000	cpd:C06651
chebi:19327	cpd:C07734
chebi:36538	cpd:C07731
chebi:29001	cpd:C11405
chebi:211	cpd:C11419
chebi:57278	cpd:C02119
chebi:12266	cpd:C01092
chebi:2226	cpd:C06645
chebi:11812	cpd:C04181
chebi:11851	cpd:C00141
chebi:15361	cpd:C00022
chebi:17180	cpd:C00168
chebi:18110	cpd:C03232
chebi:17468	cpd:C04264
chebi:18005	cpd:C00166
chebi:36242	cpd:C01179
chebi:74408	cpd:C12456
chebi:18814	cpd:C16198
chebi:16769	cpd:C00940
chebi:16763	cpd:C00109
chebi:18253	cpd:C03771
chebi:17572	cpd:C01110
chebi:28654	cpd:C03465
chebi:35146	cpd:C00671
chebi:17865	cpd:C00233
chebi:15360	cpd:C02132
chebi:35177	cpd:C00902
chebi:17162	cpd:C00869
chebi:11641	cpd:C00596
chebi:11561	cpd:C00966
chebi:53338	cpd:C04237
chebi:49257	cpd:C14463
chebi:53800	cpd:C06762
chebi:16723	cpd:C01180
chebi:15740	cpd:C00058
chebi:28868	cpd:C02403
chebi:28868	cpd:C02403
chebi:17237	cpd:C04114
chebi:15364	cpd:C00804
chebi:14030	cpd:C07289
chebi:36438	cpd:C04672
chebi:30245	cpd:C01595
chebi:60962	cpd:C16321
chebi:78424	cpd:C19616
chebi:25629	cpd:C01530
chebi:15683	cpd:C03195
chebi:30807	cpd:C06424
chebi:23858	cpd:C08281
chebi:11320	cpd:C03049
chebi:36487	cpd:C04103
chebi:37257	cpd:C01607
chebi:18164	cpd:C02982
chebi:15525	cpd:C00154
chebi:15525	cpd:C00154
chebi:27402	cpd:C05258
chebi:15491	cpd:C05259
chebi:17120	cpd:C01585
chebi:32396	cpd:C02378
chebi:17125	cpd:C03846
chebi:21203	cpd:C01933
chebi:16780	cpd:C01255
chebi:1010	cpd:C05825
chebi:37030	cpd:C02122
chebi:36464	cpd:C00418
chebi:18790	cpd:C02104
chebi:16230	cpd:C02804
chebi:49258	cpd:C06007
chebi:16724	cpd:C00989
chebi:17272	cpd:C00163
chebi:17000	cpd:C01456
chebi:16510	cpd:C01013
chebi:24996	cpd:C01432
chebi:16004	cpd:C00256
chebi:16651	cpd:C00186
chebi:24773	cpd:C05568
chebi:17282	cpd:C02043
chebi:27524	cpd:C05657
chebi:36659	cpd:C03672
chebi:10980	cpd:C03964
chebi:16331	cpd:C01744
chebi:16815	cpd:C02763
chebi:11805	cpd:C01188
chebi:46951	cpd:C04044
chebi:46951	cpd:C04044
chebi:46957	cpd:C01198
chebi:17968	cpd:C00246
